date,symbol,open,high,low,close,volume
2026-05-10,AAPL,181.20,184.10,180.60,183.70,53120000
2026-05-11,AAPL,183.90,186.30,182.50,185.90,49870000
2026-05-12,AAPL,185.10,186.00,181.80,182.40,61230000
2026-05-13,AAPL,182.80,187.20,182.10,186.80,57450000
2026-05-14,AAPL,186.00,188.10,184.90,185.20,55210000
2026-05-10,TSLA,205.30,208.00,199.50,201.20,87210000
2026-05-11,TSLA,201.70,204.60,196.80,198.90,91340000
2026-05-12,TSLA,199.10,202.40,194.70,196.30,94600000
2026-05-13,TSLA,196.80,200.10,193.20,197.60,89950000
2026-05-14,TSLA,198.00,201.30,195.90,198.40,85880000
2026-05-10,0700.HK,365.00,371.40,362.20,370.20,18230000
2026-05-11,0700.HK,371.00,376.80,369.50,374.60,19340000
2026-05-12,0700.HK,374.00,380.20,372.10,378.00,20110000
2026-05-13,0700.HK,377.60,381.00,375.00,379.80,18870000
2026-05-14,0700.HK,379.00,382.40,376.20,378.60,17650000
